archetype,sigma_ai,quality_mean,quality_cv,quality_col
cyrannus_ai_20,0.0,0.03456436169430452,0.0531562180444471,avg_true_probability
cyrannus_ai_20,0.1,0.034561727496667125,0.054749898682721586,avg_true_probability
cyrannus_ai_20,0.2,0.03449804444198873,0.052945312613164056,avg_true_probability
cyrannus_ai_20,0.3,0.03450507478202461,0.0537305420885037,avg_true_probability
cyrannus_ai_20,0.4,0.03451176626912396,0.0547261523580592,avg_true_probability
cyrannus_ai_20,0.5,0.034484527624425436,0.051705409692121444,avg_true_probability
cyrannus_ai_20,0.6,0.03462976189664932,0.05302700103338231,avg_true_probability
elite_vc,0.0,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.1,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.2,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.3,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.4,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.5,0.03478905789165482,0.1386198287571082,avg_true_probability
elite_vc,0.6,0.03478905789165482,0.1386198287571082,avg_true_probability
