iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,20,0.032151585714923984,0.6430317142984797,1,0.4817381628985945,0.004,False
1,20,0.04144098218553753,0.8288196437107507,1,0.5739684514957752,0.004,False
2,20,0.036611914990416106,0.7322382998083221,2,0.5290088960579657,0.004,False
3,20,0.04474056258667311,0.8948112517334622,1,0.6026141407443297,0.004,False
4,20,0.02978510238983979,0.5957020477967958,1,0.4552334790886565,0.004,False
5,20,0.044588045031857405,0.8917609006371481,0,0.6004938565654676,0.004,False
6,20,0.029874591072776013,0.5974918214555203,1,0.4574822427836652,0.004,False
7,20,0.027893712431872886,0.5578742486374577,1,0.4347534615327663,0.004,False
8,20,0.03696168948001588,0.7392337896003176,1,0.5317946697596891,0.004,False
9,20,0.031445837897815666,0.6289167579563133,0,0.47563983257942966,0.004,False
10,20,0.03463081579760987,0.6926163159521974,1,0.508221754770799,0.004,False
11,20,0.03256949547143799,0.6513899094287597,0,0.48652869327880943,0.004,False
12,20,0.029633926372552678,0.5926785274510535,0,0.45384080557246875,0.004,False
13,20,0.041484540164595025,0.8296908032919005,1,0.574236106230904,0.004,False
14,20,0.03195013255788102,0.6390026511576203,0,0.47912526417843904,0.004,False
15,20,0.03444475786287122,0.6888951572574243,2,0.5070046877863028,0.004,False
16,20,0.032715891785783595,0.6543178357156719,1,0.488091511844832,0.004,False
17,20,0.03542505439617521,0.7085010879235042,0,0.5153100493990737,0.004,False
18,20,0.036715305253755416,0.7343061050751083,1,0.5299175117321918,0.004,False
19,20,0.03680076022314764,0.7360152044629529,0,0.5292133450046117,0.004,False
20,20,0.04257411854419768,0.8514823708839536,2,0.5839490737221127,0.004,False
21,20,0.03520594049577278,0.7041188099154556,0,0.5136978055678696,0.004,False
22,20,0.040158192866340446,0.803163857326809,0,0.5621618722943806,0.004,False
23,20,0.029046247502896187,0.5809249500579238,2,0.4475560294121935,0.004,False
24,20,0.03551940669396079,0.7103881338792157,0,0.5172038773043921,0.004,False
25,20,0.030523435011083917,0.6104687002216783,0,0.4649241972224145,0.004,False
26,20,0.028043363457940184,0.5608672691588037,0,0.43520585709571136,0.004,False
27,20,0.03900211007786156,0.7800422015572311,2,0.5513248958713004,0.004,False
28,20,0.04019675364335111,0.8039350728670223,0,0.5624863312823725,0.004,False
29,20,0.03862232430018882,0.7724464860037764,2,0.5479476727230472,0.004,False
30,20,0.039640515973054055,0.792810319461081,0,0.557536201910533,0.004,False
31,20,0.026769782872711388,0.5353956574542278,0,0.41941826984182695,0.004,False
32,20,0.03556728787174613,0.7113457574349226,1,0.5177738274308983,0.004,False
33,20,0.03479500820999844,0.6959001641999688,1,0.5094833337324424,0.004,False
34,20,0.03763960765470255,0.7527921530940509,1,0.538432541138051,0.004,False
35,20,0.028619221205091583,0.5723844241018317,0,0.44179168792630463,0.004,False
36,20,0.03912664376640495,0.782532875328099,2,0.5523610195084464,0.004,False
37,20,0.031027037390578487,0.6205407478115698,1,0.47012873962154866,0.004,False
38,20,0.031174099593164882,0.6234819918632977,0,0.47062342027483617,0.004,False
39,20,0.031980876691422876,0.6396175338284575,1,0.4811371713641721,0.004,False
40,20,0.032781027911116825,0.6556205582223364,1,0.4889872078683253,0.004,False
41,20,0.042277701362504,0.84555402725008,1,0.580648889472881,0.004,False
42,20,0.033684978224654494,0.6736995644930899,0,0.49851454554752606,0.004,False
43,20,0.025383299711001932,0.5076659942200387,1,0.403885814048885,0.004,False
44,20,0.03499981716253399,0.6999963432506797,0,0.5115210821280445,0.004,False
45,20,0.030081226103132297,0.6016245220626459,3,0.4593044742255554,0.004,False
46,20,0.034374151513917185,0.6874830302783437,1,0.5053039587093171,0.004,False
47,20,0.038094439513560854,0.7618887902712171,1,0.5426305707756836,0.004,False
48,20,0.02990568829013108,0.5981137658026215,0,0.4565975407816736,0.004,False
49,20,0.032533990571605546,0.650679811432111,1,0.4854337320615819,0.004,False
