iteration,portfolio_size,avg_true_probability,expected_successes,actual_unicorns,portfolio_success_prob,acceptance_rate,use_pitch_filter
0,12,0.01416906162922956,0.1700287395507547,0,0.15823218364362668,0.1,True
1,12,0.016374808729165417,0.19649770474998499,0,0.18097229961650596,0.1,True
2,12,0.01926659306763781,0.23119911681165373,0,0.211881478609653,0.1,True
3,12,0.008670682447991282,0.10404818937589538,0,0.09943390471144198,0.1,True
4,12,0.01660105808620557,0.19921269703446684,0,0.18235104351139164,0.1,True
5,12,0.019517132799804715,0.23420559359765658,0,0.21174442918920133,0.1,True
6,12,0.007397343553792502,0.08876812264551003,0,0.08552920433561151,0.1,True
7,12,0.009055256272262687,0.10866307526715224,0,0.10386452739624485,0.1,True
8,12,0.022709147159538406,0.27250976591446086,1,0.24300201210769812,0.1,True
9,12,0.012191004971956276,0.1462920596634753,0,0.13734868130703615,0.1,True
10,12,0.013964652782116624,0.1675758333853995,0,0.15814016690857835,0.1,True
11,12,0.024889568907863906,0.29867482689436686,0,0.2630313714325284,0.1,True
12,12,0.012480342641777997,0.14976411170133597,0,0.143011075843126,0.1,True
13,12,0.02000331098138422,0.24003973177661064,0,0.2178401299481859,0.1,True
14,12,0.015791364529364558,0.18949637435237468,0,0.17630973609286837,0.1,True
15,12,0.006590371538046226,0.07908445845655471,0,0.07654771660494408,0.1,True
16,12,0.015493223168291157,0.18591867801949388,0,0.1731754724623693,0.1,True
17,12,0.02314072354752823,0.27768868257033874,0,0.24740595018631972,0.1,True
18,12,0.00836094617357384,0.10033135408288608,0,0.09634834449131413,0.1,True
19,12,0.02216013084161844,0.2659215700994213,0,0.2367878387978659,0.1,True
20,12,0.010564788359333298,0.12677746031199957,1,0.12016469730806989,0.1,True
21,12,0.014184171561876504,0.17021005874251804,0,0.15788484761123256,0.1,True
22,12,0.007999374118168373,0.09599248941802048,0,0.09232687521680183,0.1,True
23,12,0.02231013774686628,0.26772165296239536,0,0.23795633149445894,0.1,True
24,12,0.008158283583355538,0.09789940300026646,0,0.09421609097546846,0.1,True
25,12,0.014877235233065923,0.17852682279679108,0,0.16591104145316504,0.1,True
26,12,0.01091877237171056,0.13102526846052673,0,0.12407052452656464,0.1,True
27,12,0.01621124964331149,0.1945349957197379,0,0.18049241502300517,0.1,True
28,12,0.014155865187732979,0.16987038225279574,0,0.15784848961536213,0.1,True
29,12,0.017218001198065953,0.20661601437679145,1,0.18945633310024868,0.1,True
30,12,0.022422026667336756,0.2690643200080411,0,0.23957935012027876,0.1,True
31,12,0.022344407143581487,0.26813288572297783,1,0.24036246309337217,0.1,True
32,12,0.012165094017083664,0.14598112820500397,1,0.1372565248973514,0.1,True
33,12,0.019018164837417428,0.22821797804900912,0,0.20829427680370416,0.1,True
34,12,0.01704936174916035,0.2045923409899242,0,0.18929045812785028,0.1,True
35,12,0.017879970871353585,0.214559650456243,0,0.19619457652638694,0.1,True
36,12,0.011031815177787405,0.13238178213344887,0,0.12519808181947167,0.1,True
37,12,0.01862269083663381,0.22347229003960573,0,0.20472862734135977,0.1,True
38,12,0.015738575939295174,0.1888629112715421,0,0.17587314481238048,0.1,True
39,12,0.012574996172947902,0.15089995407537482,0,0.1415486546638982,0.1,True
40,12,0.0071249113301467834,0.0854989359617614,0,0.08247311059877271,0.1,True
41,12,0.016812974850664703,0.20175569820797645,0,0.1856051668177764,0.1,True
42,12,0.01395200858256008,0.16742410299072097,0,0.15578686777067707,0.1,True
43,12,0.023048757647530962,0.27658509177037155,0,0.24783027436763239,0.1,True
44,12,0.012675608828937633,0.1521073059472516,0,0.14296943429810594,0.1,True
45,12,0.027208793097411654,0.32650551716893983,0,0.2850683926709584,0.1,True
46,12,0.01534047855393284,0.18408574264719407,0,0.1703891202582719,0.1,True
47,12,0.02203879035698968,0.2644654842838762,0,0.23596578890675912,0.1,True
48,12,0.015516356811459348,0.18619628173751218,1,0.17168985034699014,0.1,True
49,12,0.01991598635789147,0.23899183629469764,0,0.2150085077515721,0.1,True
